0X00111705 	 741  	 0X00060000 	 0X00000006 	 2 
0X00111711 	 821  	 0X00300000 	 0X00300030 	 2 
0X00111711 	 822  	 0X00000000 	 0X00300030 	 2 
0X00111711 	 823  	 0X00000000 	 0X00300030 	 2 
0X00111711 	 824  	 0X00000000 	 0X00300000 	 2 
0X00111711 	 825  	 0X00000000 	 0X00300000 	 2 
0X00111712 	 818  	 0X00300030 	 0X00000030 	 2 
0X00111712 	 817  	 0X00300030 	 0X00000030 	 2 
0X00111712 	 816  	 0X00300030 	 0X00000000 	 2 
0X00111712 	 815  	 0X00300030 	 0X00000000 	 2 
0X00111712 	 814  	 0X00000030 	 0X00000000 	 2 
0X00111712 	 813  	 0X00000030 	 0X00000000 	 2 
0X00111714 	 937  	 0X01000000 	 0X01000100 	 2 
0X00111714 	 938  	 0X01000000 	 0X01000100 	 2 
0X00111714 	 939  	 0X00000000 	 0X01000100 	 2 
0X00111714 	 940  	 0X00000000 	 0X01000100 	 2 
0X00111714 	 941  	 0X00000000 	 0X01000000 	 2 
0X00111714 	 942  	 0X00000000 	 0X01000000 	 2 
0X00111715 	 936  	 0X01000000 	 0X00000100 	 2 
0X00111715 	 935  	 0X01000100 	 0X00000100 	 2 
0X00111715 	 934  	 0X01000100 	 0X00000100 	 2 
0X00111715 	 933  	 0X01000100 	 0X00000000 	 2 
0X00111715 	 932  	 0X01000100 	 0X00000000 	 2 
0X00111715 	 931  	 0X00000100 	 0X00000000 	 2 
0X00111715 	 930  	 0X00000100 	 0X00000000 	 2 
0X00111716 	 963  	 0X03000000 	 0X03000300 	 2 
0X00111716 	 964  	 0X03000000 	 0X03000300 	 2 
0X00111716 	 965  	 0X00000000 	 0X03000300 	 2 
0X00111716 	 966  	 0X00000000 	 0X03000300 	 2 
0X00111716 	 967  	 0X00000000 	 0X03000000 	 2 
0X00111716 	 968  	 0X00000000 	 0X03000000 	 2 
0X00111717 	 962  	 0X03000000 	 0X00000300 	 2 
0X00111717 	 961  	 0X03000300 	 0X00000300 	 2 
0X00111717 	 960  	 0X03000300 	 0X00000300 	 2 
0X00111717 	 959  	 0X03000300 	 0X00000000 	 2 
0X00111717 	 958  	 0X03000300 	 0X00000000 	 2 
0X00111717 	 957  	 0X00000300 	 0X00000000 	 2 
0X00111717 	 956  	 0X00000300 	 0X00000000 	 2 
0X00111718 	 1119 	 0X60000000 	 0X60006000 	 2 
0X00111718 	 1120 	 0X60000000 	 0X60006000 	 2 
0X00111718 	 1121 	 0X00000000 	 0X60006000 	 2 
0X00111718 	 1122 	 0X00000000 	 0X60006000 	 2 
0X00111718 	 1123 	 0X00000000 	 0X60000000 	 2 
0X00111718 	 1124 	 0X00000000 	 0X60000000 	 2 
0X00111719 	 1118 	 0X60000000 	 0X00006000 	 2 
0X00111719 	 1117 	 0X60006000 	 0X00006000 	 2 
0X00111719 	 1116 	 0X60006000 	 0X00006000 	 2 
0X00111719 	 1115 	 0X60006000 	 0X00000000 	 2 
0X00111719 	 1114 	 0X60006000 	 0X00000000 	 2 
0X00111719 	 1113 	 0X00006000 	 0X00000000 	 2 
0X00111719 	 1112 	 0X00006000 	 0X00000000 	 2 
0X00111720 	 1209 	 0X00030000 	 0X00000003 	 2 
0X00111720 	 1210 	 0X00030000 	 0X00030003 	 2 
0X00111720 	 1211 	 0X00030000 	 0X00030003 	 2 
0X00111720 	 1212 	 0X00000000 	 0X00030003 	 2 
0X00111720 	 1213 	 0X00000000 	 0X00030003 	 2 
0X00111720 	 1214 	 0X00000000 	 0X00030000 	 2 
0X00111720 	 1215 	 0X00000000 	 0X00030000 	 2 
0X00111721 	 1208 	 0X00030003 	 0X00000003 	 2 
0X00111721 	 1207 	 0X00030003 	 0X00000003 	 2 
0X00111721 	 1206 	 0X00030003 	 0X00000000 	 2 
0X00111721 	 1205 	 0X00030003 	 0X00000000 	 2 
0X00111721 	 1204 	 0X00000003 	 0X00000000 	 2 
0X00111721 	 1203 	 0X00000003 	 0X00000000 	 2 
0X00111745 	 729  	 0X00060000 	 0X00060006 	 2 
0X00111745 	 730  	 0X00060000 	 0X00060006 	 2 
0X00111745 	 731  	 0X00000000 	 0X00060006 	 2 
0X00111745 	 732  	 0X00000000 	 0X00060006 	 2 
0X00111745 	 733  	 0X00000000 	 0X00060000 	 2 
0X00111745 	 734  	 0X00000000 	 0X00060000 	 2 
0X00111746 	 728  	 0X00060000 	 0X00000006 	 2 
0X00111746 	 727  	 0X00060006 	 0X00000006 	 2 
0X00111746 	 726  	 0X00060006 	 0X00000006 	 2 
0X00111746 	 725  	 0X00060006 	 0X00000000 	 2 
0X00111746 	 724  	 0X00060006 	 0X00000000 	 2 
0X00111746 	 723  	 0X00000006 	 0X00000000 	 2 
0X00111746 	 722  	 0X00000006 	 0X00000000 	 2 
0X00111747 	 833  	 0X00300000 	 0X00300030 	 2 
0X00111747 	 834  	 0X00300000 	 0X00300030 	 2 
0X00111747 	 835  	 0X00000000 	 0X00300030 	 2 
0X00111747 	 836  	 0X00000000 	 0X00300030 	 2 
0X00111747 	 837  	 0X00000000 	 0X00300000 	 2 
0X00111747 	 838  	 0X00000000 	 0X00300000 	 2 
0X00111748 	 832  	 0X00300000 	 0X00000030 	 2 
0X00111748 	 831  	 0X00300030 	 0X00000030 	 2 
0X00111748 	 830  	 0X00300030 	 0X00000030 	 2 
0X00111748 	 829  	 0X00300030 	 0X00000000 	 2 
0X00111748 	 828  	 0X00300030 	 0X00000000 	 2 
0X00111748 	 827  	 0X00000030 	 0X00000000 	 2 
0X00111748 	 826  	 0X00000030 	 0X00000000 	 2 
0X00111749 	 859  	 0X00600000 	 0X00600060 	 2 
0X00111749 	 860  	 0X00600000 	 0X00600060 	 2 
0X00111749 	 861  	 0X00000000 	 0X00600060 	 2 
0X00111749 	 862  	 0X00000000 	 0X00600060 	 2 
0X00111749 	 863  	 0X00000000 	 0X00600000 	 2 
0X00111749 	 864  	 0X00000000 	 0X00600000 	 2 
0X00111750 	 858  	 0X00600000 	 0X00000060 	 2 
0X00111750 	 857  	 0X00600060 	 0X00000060 	 2 
0X00111750 	 856  	 0X00600060 	 0X00000060 	 2 
0X00111750 	 855  	 0X00600060 	 0X00000000 	 2 
0X00111750 	 854  	 0X00600060 	 0X00000000 	 2 
0X00111750 	 853  	 0X00000060 	 0X00000000 	 2 
0X00111750 	 852  	 0X00000060 	 0X00000000 	 2 
0X00111751 	 885  	 0X00c00000 	 0X00c000c0 	 2 
0X00111751 	 886  	 0X00c00000 	 0X00c000c0 	 2 
0X00111751 	 887  	 0X00000000 	 0X00c000c0 	 2 
0X00111751 	 888  	 0X00000000 	 0X00c000c0 	 2 
0X00111751 	 889  	 0X00000000 	 0X00c00000 	 2 
0X00111751 	 890  	 0X00000000 	 0X00c00000 	 2 
0X00111752 	 884  	 0X00c00000 	 0X000000c0 	 2 
0X00111752 	 883  	 0X00c000c0 	 0X000000c0 	 2 
0X00111752 	 882  	 0X00c000c0 	 0X000000c0 	 2 
0X00111752 	 881  	 0X00c000c0 	 0X00000000 	 2 
0X00111752 	 880  	 0X00c000c0 	 0X00000000 	 2 
0X00111752 	 879  	 0X000000c0 	 0X00000000 	 2 
0X00111752 	 878  	 0X000000c0 	 0X00000000 	 2 
0X00111754 	 949  	 0X03000000 	 0X00000300 	 2 
0X00111754 	 950  	 0X03000000 	 0X03000300 	 2 
0X00111754 	 951  	 0X03000000 	 0X03000300 	 2 
0X00111754 	 952  	 0X00000000 	 0X03000300 	 2 
0X00111754 	 953  	 0X00000000 	 0X03000300 	 2 
0X00111754 	 954  	 0X00000000 	 0X03000000 	 2 
0X00111754 	 955  	 0X00000000 	 0X03000000 	 2 
0X00111755 	 948  	 0X03000300 	 0X00000300 	 2 
0X00111755 	 947  	 0X03000300 	 0X00000300 	 2 
0X00111755 	 946  	 0X03000300 	 0X00000000 	 2 
0X00111755 	 945  	 0X03000300 	 0X00000000 	 2 
0X00111755 	 944  	 0X00000300 	 0X00000000 	 2 
0X00111755 	 943  	 0X00000300 	 0X00000000 	 2 
0X00111756 	 1105 	 0X60000000 	 0X00006000 	 2 
0X00111756 	 1106 	 0X60000000 	 0X60006000 	 2 
0X00111756 	 1107 	 0X60000000 	 0X60006000 	 2 
0X00111756 	 1108 	 0X00000000 	 0X60006000 	 2 
0X00111756 	 1109 	 0X00000000 	 0X60006000 	 2 
0X00111756 	 1110 	 0X00000000 	 0X60000000 	 2 
0X00111756 	 1111 	 0X00000000 	 0X60000000 	 2 
0X00111757 	 1104 	 0X60006000 	 0X00006000 	 2 
0X00111757 	 1103 	 0X60006000 	 0X00006000 	 2 
0X00111757 	 1102 	 0X60006000 	 0X00000000 	 2 
0X00111757 	 1101 	 0X60006000 	 0X00000000 	 2 
0X00111757 	 1100 	 0X00006000 	 0X00000000 	 2 
0X00111757 	 1099 	 0X00006000 	 0X00000000 	 2 
0X00111758 	 1131 	 0Xc0000000 	 0X0000c000 	 2 
0X00111758 	 1132 	 0Xc0000000 	 0Xc000c000 	 2 
0X00111758 	 1133 	 0Xc0000000 	 0Xc000c000 	 2 
0X00111758 	 1134 	 0X00000000 	 0Xc000c000 	 2 
0X00111758 	 1135 	 0X00000000 	 0Xc000c000 	 2 
0X00111758 	 1136 	 0X00000000 	 0Xc0000000 	 2 
0X00111758 	 1137 	 0X00000000 	 0Xc0000000 	 2 
0X00111759 	 1130 	 0Xc000c000 	 0X0000c000 	 2 
0X00111759 	 1129 	 0Xc000c000 	 0X0000c000 	 2 
0X00111759 	 1128 	 0Xc000c000 	 0X00000000 	 2 
0X00111759 	 1127 	 0Xc000c000 	 0X00000000 	 2 
0X00111759 	 1126 	 0X0000c000 	 0X00000000 	 2 
0X00111759 	 1125 	 0X0000c000 	 0X00000000 	 2 
0X00111760 	 1197 	 0X00030000 	 0X00030003 	 2 
0X00111760 	 1198 	 0X00030000 	 0X00030003 	 2 
0X00111760 	 1199 	 0X00000000 	 0X00030003 	 2 
0X00111760 	 1200 	 0X00000000 	 0X00030003 	 2 
0X00111760 	 1201 	 0X00000000 	 0X00030000 	 2 
0X00111760 	 1202 	 0X00000000 	 0X00030000 	 2 
0X00111761 	 1196 	 0X00030000 	 0X00000003 	 2 
0X00111761 	 1195 	 0X00030003 	 0X00000003 	 2 
0X00111761 	 1194 	 0X00030003 	 0X00000003 	 2 
0X00111761 	 1193 	 0X00030003 	 0X00000000 	 2 
0X00111761 	 1192 	 0X00030003 	 0X00000000 	 2 
0X00111761 	 1191 	 0X00000003 	 0X00000000 	 2 
0X00111761 	 1190 	 0X00000003 	 0X00000000 	 2 
0X00111805 	 755  	 0X000c0000 	 0X000c000c 	 2 
0X00111805 	 756  	 0X000c0000 	 0X000c000c 	 2 
0X00111805 	 757  	 0X00000000 	 0X000c000c 	 2 
0X00111805 	 758  	 0X00000000 	 0X000c000c 	 2 
0X00111805 	 759  	 0X00000000 	 0X000c0000 	 2 
0X00111805 	 760  	 0X00000000 	 0X000c0000 	 2 
0X00111806 	 754  	 0X000c0000 	 0X0000000c 	 2 
0X00111806 	 753  	 0X000c000c 	 0X0000000c 	 2 
0X00111806 	 752  	 0X000c000c 	 0X0000000c 	 2 
0X00111806 	 751  	 0X000c000c 	 0X00000000 	 2 
0X00111806 	 750  	 0X000c000c 	 0X00000000 	 2 
0X00111806 	 749  	 0X0000000c 	 0X00000000 	 2 
0X00111806 	 748  	 0X0000000c 	 0X00000000 	 2 
0X00111807 	 767  	 0X000c0000 	 0X0000000c 	 2 
0X00111807 	 768  	 0X000c0000 	 0X000c000c 	 2 
0X00111807 	 769  	 0X000c0000 	 0X000c000c 	 2 
0X00111807 	 770  	 0X00000000 	 0X000c000c 	 2 
0X00111807 	 771  	 0X00000000 	 0X000c000c 	 2 
0X00111807 	 772  	 0X00000000 	 0X000c0000 	 2 
0X00111807 	 773  	 0X00000000 	 0X000c0000 	 2 
0X00111808 	 766  	 0X000c000c 	 0X0000000c 	 2 
0X00111808 	 765  	 0X000c000c 	 0X0000000c 	 2 
0X00111808 	 764  	 0X000c000c 	 0X00000000 	 2 
0X00111808 	 763  	 0X000c000c 	 0X00000000 	 2 
0X00111808 	 762  	 0X0000000c 	 0X00000000 	 2 
0X00111808 	 761  	 0X0000000c 	 0X00000000 	 2 
0X00111809 	 793  	 0X00180000 	 0X00000018 	 2 
0X00111809 	 794  	 0X00180000 	 0X00180018 	 2 
0X00111809 	 795  	 0X00180000 	 0X00180018 	 2 
0X00111809 	 796  	 0X00000000 	 0X00180018 	 2 
0X00111809 	 797  	 0X00000000 	 0X00180018 	 2 
0X00111809 	 798  	 0X00000000 	 0X00180000 	 2 
0X00111809 	 799  	 0X00000000 	 0X00180000 	 2 
0X00111810 	 792  	 0X00180018 	 0X00000018 	 2 
0X00111810 	 791  	 0X00180018 	 0X00000018 	 2 
0X00111810 	 790  	 0X00180018 	 0X00000000 	 2 
0X00111810 	 789  	 0X00180018 	 0X00000000 	 2 
0X00111810 	 788  	 0X00000018 	 0X00000000 	 2 
0X00111810 	 787  	 0X00000018 	 0X00000000 	 2 
0X00111811 	 897  	 0X00c00000 	 0X000000c0 	 2 
0X00111811 	 898  	 0X00c00000 	 0X00c000c0 	 2 
0X00111811 	 899  	 0X00c00000 	 0X00c000c0 	 2 
0X00111811 	 900  	 0X00000000 	 0X00c000c0 	 2 
0X00111811 	 901  	 0X00000000 	 0X00c000c0 	 2 
0X00111811 	 902  	 0X00000000 	 0X00c00000 	 2 
0X00111811 	 903  	 0X00000000 	 0X00c00000 	 2 
0X00111812 	 896  	 0X00c000c0 	 0X000000c0 	 2 
0X00111812 	 895  	 0X00c000c0 	 0X000000c0 	 2 
0X00111812 	 894  	 0X00c000c0 	 0X00000000 	 2 
0X00111812 	 893  	 0X00c000c0 	 0X00000000 	 2 
0X00111812 	 892  	 0X000000c0 	 0X00000000 	 2 
0X00111812 	 891  	 0X000000c0 	 0X00000000 	 2 
0X00111814 	 1027 	 0X08000000 	 0X00000800 	 2 
0X00111814 	 1028 	 0X08000000 	 0X08000800 	 2 
0X00111814 	 1029 	 0X08000000 	 0X08000800 	 2 
0X00111814 	 1030 	 0X00000000 	 0X08000800 	 2 
0X00111814 	 1031 	 0X00000000 	 0X08000800 	 2 
0X00111814 	 1032 	 0X00000000 	 0X08000000 	 2 
0X00111814 	 1033 	 0X00000000 	 0X08000000 	 2 
0X00111815 	 1026 	 0X08000800 	 0X00000800 	 2 
0X00111815 	 1025 	 0X08000800 	 0X00000800 	 2 
0X00111815 	 1024 	 0X08000800 	 0X00000000 	 2 
0X00111815 	 1023 	 0X08000800 	 0X00000000 	 2 
0X00111815 	 1022 	 0X00000800 	 0X00000000 	 2 
0X00111815 	 1021 	 0X00000800 	 0X00000000 	 2 
0X00111816 	 1053 	 0X18000000 	 0X00001800 	 2 
0X00111816 	 1054 	 0X18000000 	 0X18001800 	 2 
0X00111816 	 1055 	 0X18000000 	 0X18001800 	 2 
0X00111816 	 1056 	 0X00000000 	 0X18001800 	 2 
0X00111816 	 1057 	 0X00000000 	 0X18001800 	 2 
0X00111816 	 1058 	 0X00000000 	 0X18000000 	 2 
0X00111816 	 1059 	 0X00000000 	 0X18000000 	 2 
0X00111817 	 1052 	 0X18001800 	 0X00001800 	 2 
0X00111817 	 1051 	 0X18001800 	 0X00001800 	 2 
0X00111817 	 1050 	 0X18001800 	 0X00000000 	 2 
0X00111817 	 1049 	 0X18001800 	 0X00000000 	 2 
0X00111817 	 1048 	 0X00001800 	 0X00000000 	 2 
0X00111817 	 1047 	 0X00001800 	 0X00000000 	 2 
0X00111818 	 1157 	 0X80010000 	 0X00008001 	 2 
0X00111818 	 1158 	 0X80010000 	 0X80018001 	 2 
0X00111818 	 1159 	 0X80010000 	 0X80018001 	 2 
0X00111818 	 1160 	 0X00000000 	 0X80018001 	 2 
0X00111818 	 1161 	 0X00000000 	 0X80018001 	 2 
0X00111818 	 1162 	 0X00000000 	 0X80010000 	 2 
0X00111818 	 1163 	 0X00000000 	 0X80010000 	 2 
0X00111819 	 1156 	 0X80018001 	 0X00008001 	 2 
0X00111819 	 1155 	 0X80018001 	 0X00008001 	 2 
0X00111819 	 1154 	 0X80018001 	 0X00000000 	 2 
0X00111819 	 1153 	 0X80018001 	 0X00000000 	 2 
0X00111819 	 1152 	 0X00008001 	 0X00000000 	 2 
0X00111819 	 1151 	 0X00008001 	 0X00000000 	 2 
0X00111820 	 1183 	 0X00010000 	 0X00000001 	 2 
0X00111820 	 1184 	 0X00010000 	 0X00010001 	 2 
0X00111820 	 1185 	 0X00010000 	 0X00010001 	 2 
0X00111820 	 1186 	 0X00000000 	 0X00010001 	 2 
0X00111820 	 1187 	 0X00000000 	 0X00010001 	 2 
0X00111820 	 1188 	 0X00000000 	 0X00010000 	 2 
0X00111820 	 1189 	 0X00000000 	 0X00010000 	 2 
0X00111821 	 1182 	 0X00010001 	 0X00000001 	 2 
0X00111821 	 1181 	 0X00010001 	 0X00000001 	 2 
0X00111821 	 1180 	 0X00010001 	 0X00000000 	 2 
0X00111821 	 1179 	 0X00010001 	 0X00000000 	 2 
0X00111821 	 1178 	 0X00000001 	 0X00000000 	 2 
0X00111821 	 1177 	 0X00000001 	 0X00000000 	 2 
0X00111845 	 781  	 0X00080000 	 0X00080008 	 2 
0X00111845 	 782  	 0X00080000 	 0X00080008 	 2 
0X00111845 	 783  	 0X00000000 	 0X00080008 	 2 
0X00111845 	 784  	 0X00000000 	 0X00080008 	 2 
0X00111845 	 785  	 0X00000000 	 0X00080000 	 2 
0X00111845 	 786  	 0X00000000 	 0X00080000 	 2 
0X00111846 	 780  	 0X00080000 	 0X00000008 	 2 
0X00111846 	 779  	 0X00080008 	 0X00000008 	 2 
0X00111846 	 778  	 0X00080008 	 0X00000008 	 2 
0X00111846 	 777  	 0X00080008 	 0X00000000 	 2 
0X00111846 	 776  	 0X00080008 	 0X00000000 	 2 
0X00111846 	 775  	 0X00000008 	 0X00000000 	 2 
0X00111846 	 774  	 0X00000008 	 0X00000000 	 2 
0X00111847 	 807  	 0X00180000 	 0X00180018 	 2 
0X00111847 	 808  	 0X00180000 	 0X00180018 	 2 
0X00111847 	 809  	 0X00000000 	 0X00180018 	 2 
0X00111847 	 810  	 0X00000000 	 0X00180018 	 2 
0X00111847 	 811  	 0X00000000 	 0X00180000 	 2 
0X00111847 	 812  	 0X00000000 	 0X00180000 	 2 
0X00111848 	 806  	 0X00180000 	 0X00000018 	 2 
0X00111848 	 805  	 0X00180018 	 0X00000018 	 2 
0X00111848 	 804  	 0X00180018 	 0X00000018 	 2 
0X00111848 	 803  	 0X00180018 	 0X00000000 	 2 
0X00111848 	 802  	 0X00180018 	 0X00000000 	 2 
0X00111848 	 801  	 0X00000018 	 0X00000000 	 2 
0X00111848 	 800  	 0X00000018 	 0X00000000 	 2 
0X00111849 	 911  	 0X01800000 	 0X01800180 	 2 
0X00111849 	 912  	 0X01800000 	 0X01800180 	 2 
0X00111849 	 913  	 0X00000000 	 0X01800180 	 2 
0X00111849 	 914  	 0X00000000 	 0X01800180 	 2 
0X00111849 	 915  	 0X00000000 	 0X01800000 	 2 
0X00111849 	 916  	 0X00000000 	 0X01800000 	 2 
0X00111850 	 910  	 0X01800000 	 0X00000180 	 2 
0X00111850 	 909  	 0X01800180 	 0X00000180 	 2 
0X00111850 	 908  	 0X01800180 	 0X00000180 	 2 
0X00111850 	 907  	 0X01800180 	 0X00000000 	 2 
0X00111850 	 906  	 0X01800180 	 0X00000000 	 2 
0X00111850 	 905  	 0X00000180 	 0X00000000 	 2 
0X00111850 	 904  	 0X00000180 	 0X00000000 	 2 
0X00111851 	 923  	 0X01800000 	 0X00000180 	 2 
0X00111851 	 924  	 0X01800000 	 0X01800180 	 2 
0X00111851 	 925  	 0X01800000 	 0X01800180 	 2 
0X00111851 	 926  	 0X00000000 	 0X01800180 	 2 
0X00111851 	 927  	 0X00000000 	 0X01800180 	 2 
0X00111851 	 928  	 0X00000000 	 0X01800000 	 2 
0X00111851 	 929  	 0X00000000 	 0X01800000 	 2 
0X00111852 	 922  	 0X01800180 	 0X00000180 	 2 
0X00111852 	 921  	 0X01800180 	 0X00000180 	 2 
0X00111852 	 920  	 0X01800180 	 0X00000000 	 2 
0X00111852 	 919  	 0X01800180 	 0X00000000 	 2 
0X00111852 	 918  	 0X00000180 	 0X00000000 	 2 
0X00111852 	 917  	 0X00000180 	 0X00000000 	 2 
0X00111854 	 1015 	 0X0c000000 	 0X0c000c00 	 2 
0X00111854 	 1016 	 0X0c000000 	 0X0c000c00 	 2 
0X00111854 	 1017 	 0X00000000 	 0X0c000c00 	 2 
0X00111854 	 1018 	 0X00000000 	 0X0c000c00 	 2 
0X00111854 	 1019 	 0X00000000 	 0X0c000000 	 2 
0X00111854 	 1020 	 0X00000000 	 0X0c000000 	 2 
0X00111855 	 1014 	 0X0c000000 	 0X00000c00 	 2 
0X00111855 	 1013 	 0X0c000c00 	 0X00000c00 	 2 
0X00111855 	 1012 	 0X0c000c00 	 0X00000c00 	 2 
0X00111855 	 1011 	 0X0c000c00 	 0X00000000 	 2 
0X00111855 	 1010 	 0X0c000c00 	 0X00000000 	 2 
0X00111855 	 1009 	 0X00000c00 	 0X00000000 	 2 
0X00111855 	 1008 	 0X00000c00 	 0X00000000 	 2 
0X00111856 	 1041 	 0X18000000 	 0X18001800 	 2 
0X00111856 	 1042 	 0X18000000 	 0X18001800 	 2 
0X00111856 	 1043 	 0X00000000 	 0X18001800 	 2 
0X00111856 	 1044 	 0X00000000 	 0X18001800 	 2 
0X00111856 	 1045 	 0X00000000 	 0X18000000 	 2 
0X00111856 	 1046 	 0X00000000 	 0X18000000 	 2 
0X00111857 	 1040 	 0X18000000 	 0X00001800 	 2 
0X00111857 	 1039 	 0X18001800 	 0X00001800 	 2 
0X00111857 	 1038 	 0X18001800 	 0X00001800 	 2 
0X00111857 	 1037 	 0X18001800 	 0X00000000 	 2 
0X00111857 	 1036 	 0X18001800 	 0X00000000 	 2 
0X00111857 	 1035 	 0X00001800 	 0X00000000 	 2 
0X00111857 	 1034 	 0X00001800 	 0X00000000 	 2 
0X00111858 	 1145 	 0Xc0000000 	 0Xc000c000 	 2 
0X00111858 	 1146 	 0Xc0000000 	 0Xc000c000 	 2 
0X00111858 	 1147 	 0X00000000 	 0Xc000c000 	 2 
0X00111858 	 1148 	 0X00000000 	 0Xc000c000 	 2 
0X00111858 	 1149 	 0X00000000 	 0Xc0000000 	 2 
0X00111858 	 1150 	 0X00000000 	 0Xc0000000 	 2 
0X00111859 	 1144 	 0Xc0000000 	 0X0000c000 	 2 
0X00111859 	 1143 	 0Xc000c000 	 0X0000c000 	 2 
0X00111859 	 1142 	 0Xc000c000 	 0X0000c000 	 2 
0X00111859 	 1141 	 0Xc000c000 	 0X00000000 	 2 
0X00111859 	 1140 	 0Xc000c000 	 0X00000000 	 2 
0X00111859 	 1139 	 0X0000c000 	 0X00000000 	 2 
0X00111859 	 1138 	 0X0000c000 	 0X00000000 	 2 
0X00111860 	 1171 	 0X80010000 	 0X80018001 	 2 
0X00111860 	 1172 	 0X80010000 	 0X80018001 	 2 
0X00111860 	 1173 	 0X00000000 	 0X80018001 	 2 
0X00111860 	 1174 	 0X00000000 	 0X80018001 	 2 
0X00111860 	 1175 	 0X00000000 	 0X80010000 	 2 
0X00111860 	 1176 	 0X00000000 	 0X80010000 	 2 
0X00111861 	 1170 	 0X80010000 	 0X00008001 	 2 
0X00111861 	 1169 	 0X80018001 	 0X00008001 	 2 
0X00111861 	 1168 	 0X80018001 	 0X00008001 	 2 
0X00111861 	 1167 	 0X80018001 	 0X00000000 	 2 
0X00111861 	 1166 	 0X80018001 	 0X00000000 	 2 
0X00111861 	 1165 	 0X00008001 	 0X00000000 	 2 
0X00111861 	 1164 	 0X00008001 	 0X00000000 	 2 
0X00112405 	 1508 	 0X03000000 	 0X00000300 	 3 
0X00112405 	 1509 	 0X03000000 	 0X00000300 	 3 
0X00112405 	 1510 	 0X03000000 	 0X00000300 	 3 
0X00112405 	 1511 	 0X00000000 	 0X03000300 	 3 
0X00112405 	 1512 	 0X00000000 	 0X03000300 	 3 
0X00112405 	 1513 	 0X00000000 	 0X03000300 	 3 
0X00112405 	 1514 	 0X00000000 	 0X03000000 	 3 
0X00112405 	 1501 	 0X00000000 	 0X01000000 	 3 
0X00112405 	 1500 	 0X00000000 	 0X01000100 	 3 
0X00112405 	 1499 	 0X00000000 	 0X01000100 	 3 
0X00112405 	 1498 	 0X00000000 	 0X01000100 	 3 
0X00112405 	 1497 	 0X01000000 	 0X00000100 	 3 
0X00112405 	 1496 	 0X01000000 	 0X00000100 	 3 
0X00112406 	 1502 	 0X00000300 	 0X00000000 	 3 
0X00112406 	 1503 	 0X03000300 	 0X00000000 	 3 
0X00112406 	 1504 	 0X03000300 	 0X00000000 	 3 
0X00112406 	 1505 	 0X03000300 	 0X00000000 	 3 
0X00112406 	 1506 	 0X03000000 	 0X00000300 	 3 
0X00112406 	 1507 	 0X03000000 	 0X00000300 	 3 
0X00112406 	 1495 	 0X01000000 	 0X00000100 	 3 
0X00112406 	 1494 	 0X01000000 	 0X00000100 	 3 
0X00112406 	 1493 	 0X01000000 	 0X00000100 	 3 
